Worker,Client,ShipmentMode,City,Country,Amount
8,THEBI,2,Portland,USA,5040.0
1,DUMON,3,Nantes,France,3494.4
2,WANDK,2,Stuttgart,Germany,93658.4
2,QUICK,2,Cunewalde,Germany,2188.8
1,RATTC,2,Albuquerque,USA,221065.0
4,ISLAT,2,Cowes,UK,22739.2
1,RATTC,3,Albuquerque,USA,226800.0
6,LONEP,1,Portland,USA,5760.0
8,ISLAT,2,Cowes,UK,6250.4
7,TORTU,3,México D.F.,Mexico,61942.4
5,WARTH,3,Oulu,Finland,15480.0
3,ISLAT,2,Cowes,UK,1440.0
7,PERIC,3,México D.F.,Mexico,2240.0
4,KOENE,1,Brandenburg,Germany,2137.2
9,SAVEA,1,Boise,USA,1483571.9
1,KOENE,3,Brandenburg,Germany,106287.0
4,BOLID,2,Madrid,Spain,88380.0
2,FOLKO,1,Bräcke,Sweden,316750.0
4,FURIB,3,Lisboa,Portugal,68912.0
4,SPLIR,2,Lander,USA,240970.0
3,LILAS,1,Barquisimeto,Venezuela,145500.0
9,BONAP,1,Marseille,France,1327.5
3,MEREP,2,Montréal,Canada,147417.6
5,WARTH,3,Oulu,Finland,57240.0
8,VICTE,2,Lyon,France,2606.4
7,HUNGO,2,Cork,Ireland,218887.2
7,PRINI,2,Lisboa,Portugal,5702.4
4,FRANK,3,München,Germany,337979.0
4,OLDWO,3,Anchorage,USA,32707.5
2,MEREP,2,Montréal,Canada,374025.6
1,BONAP,3,Marseille,France,184636.8
7,SIMOB,3,Kobenhavn,Denmark,7004.0
4,FRANK,2,München,Germany,368128.0
4,LEHMS,1,Frankfurt a.M.,Germany,109434.0
4,WHITC,2,Seattle,USA,299880.0
2,QUICK,2,Cunewalde,Germany,465043.2
3,RATTC,3,Albuquerque,USA,96947.2
4,FAMIA,3,Sao Paulo,Brazil,64960.0
4,WANDK,2,Stuttgart,Germany,15840.0
7,SPLIR,1,Lander,USA,3398.4
6,LAMAI,2,Toulouse,France,23542.2
1,ERNSH,1,Graz,Austria,681312.0
3,FURIB,3,Lisboa,Portugal,4620.0
7,PICCO,3,Salzburg,Austria,665979.2
8,PERIC,3,México D.F.,Mexico,9100.8
6,AROUT,1,Colchester,UK,24000.0
6,WANDK,2,Stuttgart,Germany,68596.8
1,LILAS,3,Barquisimeto,Venezuela,73440.0
5,LAMAI,1,Toulouse,France,18080.0
5,SEVES,3,London,UK,752806.4
4,BLONP,3,Strasbourg,France,1019847.6
1,QUICK,2,Cunewalde,Germany,247822.4
3,BONAP,1,Marseille,France,145662.4
4,DRACD,3,Aachen,Germany,19676.8
1,EASTC,1,London,UK,33250.0
3,ANTON,2,México D.F.,Mexico,9676.8
8,GALED,2,Barcelona,Spain,1360.0
7,VAFFE,3,Århus,Denmark,63399.2
2,ERNSH,2,Graz,Austria,143067.6
8,SPLIR,2,Lander,USA,96033.6
6,CHOPS,2,Bern,Switzerland,76310.0
1,LAMAI,1,Toulouse,France,547.2
5,QUEEN,2,Sao Paulo,Brazil,2014116.8
4,HUNGO,3,Cork,Ireland,222040.0
1,WOLZA,3,Warszawa,Poland,20655.0
3,HUNGC,2,Elgin,USA,8450.0
1,MEREP,2,Montréal,Canada,17640.0
1,SEVES,3,London,UK,40640.0
5,FOLKO,3,Bräcke,Sweden,619.2
2,QUEDE,1,Rio de Janeiro,Brazil,42204.8
8,HUNGO,3,Cork,Ireland,105065.2
3,LILAS,3,Barquisimeto,Venezuela,1568.0
4,ERNSH,1,Graz,Austria,478500.0
8,AROUT,3,Colchester,UK,49445.0
3,BERGS,3,Luleå,Sweden,95563.2
1,SPLIR,2,Lander,USA,32832.0
9,FAMIA,3,Sao Paulo,Brazil,4150.0
1,SANTG,2,Stavern,Norway,50803.2
2,SEVES,1,London,UK,95550.0
4,BOTTM,2,Tsawassen,Canada,148456.8
6,ERNSH,1,Graz,Austria,384508.8
3,DRACD,3,Aachen,Germany,1555.2
2,PICCO,3,Salzburg,Austria,72000.0
1,SAVEA,3,Boise,USA,581257.6
1,HUNGC,3,Elgin,USA,8840.0
6,HILAA,1,San Cristóbal,Venezuela,247319.2
1,FRANK,3,München,Germany,230359.8
5,PRINI,1,Lisboa,Portugal,23609.6
2,SAVEA,3,Boise,USA,410400.0
8,VAFFE,3,Århus,Denmark,245418.4
1,EASTC,3,London,UK,263418.0
1,RATTC,1,Albuquerque,USA,649924.8
8,ERNSH,2,Graz,Austria,339187.5
4,ERNSH,3,Graz,Austria,91536.9
2,MAGAA,1,Bergamo,Italy,167500.0
1,LINOD,1,I. de Margarita,Venezuela,20000.0
7,QUEEN,1,Sao Paulo,Brazil,179619.8
2,OTTIK,2,Köln,Germany,71640.0
8,FOLIG,1,Lille,France,82742.4
3,OCEAN,1,Buenos Aires,Argentina,7660.8
3,BOTTM,3,Tsawassen,Canada,52130.0
9,BOTTM,3,Tsawassen,Canada,89429.0
8,WARTH,2,Oulu,Finland,7440.0
3,LAMAI,2,Toulouse,France,165609.6
2,FAMIA,3,Sao Paulo,Brazil,15735.2
3,HUNGC,1,Elgin,USA,2252.8
8,WARTH,3,Oulu,Finland,36000.0
4,SIMOB,3,Kobenhavn,Denmark,1387833.6
4,QUICK,1,Cunewalde,Germany,264960.8
4,RICSU,2,Genève,Switzerland,176640.0
3,WELLI,1,Resende,Brazil,94880.0
8,QUEDE,1,Rio de Janeiro,Brazil,75118.8
2,FRANS,1,Torino,Italy,99.6
6,GOURL,3,Campinas,Brazil,34680.0
7,MEREP,2,Montréal,Canada,1597554.8
6,LAMAI,2,Toulouse,France,14400.0
4,GALED,1,Barcelona,Spain,4058.4
4,PICCO,2,Salzburg,Austria,22785.0
7,REGGC,1,Reggio Emilia,Italy,3840.0
3,HUNGO,2,Cork,Ireland,131137.5
4,ERNSH,1,Graz,Austria,1130220.0
4,BOTTM,2,Tsawassen,Canada,327990.0
3,SPLIR,2,Lander,USA,24250.0
3,PRINI,3,Lisboa,Portugal,23833.6
3,FOLKO,2,Bräcke,Sweden,8640.0
8,CONSH,2,London,UK,20211.2
3,BLONP,2,Strasbourg,France,218869.2
8,WARTH,1,Oulu,Finland,5895.0
3,TOMSP,2,Münster,Germany,28375.0
6,MEREP,3,Montréal,Canada,72226.0
4,SAVEA,2,Boise,USA,1204964.8
3,OLDWO,2,Anchorage,USA,87750.0
3,ERNSH,2,Graz,Austria,304640.0
8,REGGC,1,Reggio Emilia,Italy,9676.8
3,BERGS,3,Luleå,Sweden,64997.1
3,BERGS,1,Luleå,Sweden,3672.9
6,TOMSP,1,Münster,Germany,13680.0
4,RICAR,2,Rio de Janeiro,Brazil,70408.8
4,RANCH,2,Buenos Aires,Argentina,11528.4
3,BLONP,2,Strasbourg,France,126835.8
8,VICTE,2,Lyon,France,13816.4
4,QUICK,3,Cunewalde,Germany,1018021.2
8,SAVEA,1,Boise,USA,241040.0
1,AROUT,2,Colchester,UK,18120.0
4,LAMAI,3,Toulouse,France,20700.0
8,WARTH,2,Oulu,Finland,335500.0
8,KOENE,2,Brandenburg,Germany,40016.0
2,KOENE,1,Brandenburg,Germany,57024.0
7,SUPRD,3,Charleroi,Belgium,564195.0
4,VICTE,2,Lyon,France,128288.0
8,FOLKO,1,Bräcke,Sweden,5870.0
1,LILAS,3,Barquisimeto,Venezuela,262604.8
2,CONSH,1,London,UK,3432.0000000000005
5,SUPRD,3,Charleroi,Belgium,50644.3
4,FURIB,2,Lisboa,Portugal,127512.0
1,VAFFE,3,Århus,Denmark,320842.0
4,COMMI,1,Sao Paulo,Brazil,3240.0
8,MAGAA,2,Bergamo,Italy,9408.0
3,KOENE,3,Brandenburg,Germany,16504.8
1,WHITC,1,Seattle,USA,86663.5
4,BONAP,2,Marseille,France,96502.4
2,BSBEV,3,London,UK,66400.0
8,SEVES,1,London,UK,103017.6
1,ISLAT,3,Cowes,UK,5529.6
5,PERIC,2,México D.F.,Mexico,76195.1
9,SUPRD,1,Charleroi,Belgium,242599.6
8,HILAA,3,San Cristóbal,Venezuela,2553.6
5,PRINI,2,Lisboa,Portugal,37632.0
2,VICTE,3,Lyon,France,9920.0
3,RATTC,3,Albuquerque,USA,1553348.8
6,FOLIG,2,Lille,France,31752.0
8,RICAR,2,Rio de Janeiro,Brazil,94208.0
1,LAZYK,3,Walla Walla,USA,1470.0
7,WHITC,2,Seattle,USA,45760.0
3,BSBEV,3,London,UK,10427.4
4,LINOD,2,I. de Margarita,Venezuela,228800.0
1,HILAA,2,San Cristóbal,Venezuela,58512.0
2,QUEEN,2,Sao Paulo,Brazil,54580.9
8,FRANK,2,München,Germany,78000.0
6,PICCO,2,Salzburg,Austria,16572.6
7,HILAA,2,San Cristóbal,Venezuela,398563.2
8,FURIB,3,Lisboa,Portugal,6716.6
3,BOTTM,1,Tsawassen,Canada,71680.0
4,LAMAI,3,Toulouse,France,23660.0
4,COMMI,2,Sao Paulo,Brazil,27360.0
3,LAUGB,3,Vancouver,Canada,9730.0
7,TRADH,2,Sao Paulo,Brazil,4000.0
7,LEHMS,1,Frankfurt a.M.,Germany,88358.4
8,HILAA,2,San Cristóbal,Venezuela,28175.0
4,LILAS,2,Barquisimeto,Venezuela,63540.0
6,LAMAI,1,Toulouse,France,11016.0
9,BLAUS,3,Mannheim,Germany,2980.0
2,PERIC,1,México D.F.,Mexico,46529.1
6,HUNGO,2,Cork,Ireland,184365.0
4,WHITC,3,Seattle,USA,81921.5
3,MEREP,3,Montréal,Canada,443.7
9,KOENE,2,Brandenburg,Germany,14784.0
7,ANTON,1,México D.F.,Mexico,26437.5
1,OTTIK,2,Köln,Germany,4800.0
4,BLAUS,1,Mannheim,Germany,410.4
6,SAVEA,3,Boise,USA,340951.68000000005
4,BONAP,3,Marseille,France,330000.0
7,FAMIA,2,Sao Paulo,Brazil,22866.0
7,WANDK,1,Stuttgart,Germany,254887.5
3,ERNSH,2,Graz,Austria,2009263.85
2,QUICK,1,Cunewalde,Germany,3028311.0
2,HUNGO,3,Cork,Ireland,326812.5
3,NORTS,3,London,UK,5632.0
4,TORTU,2,México D.F.,Mexico,120351.45
6,CHOPS,3,Bern,Switzerland,155496.0
7,SANTG,1,Stavern,Norway,2600.0
8,CACTU,2,Buenos Aires,Argentina,4284.5
4,LEHMS,1,Frankfurt a.M.,Germany,289700.2
7,SEVES,2,London,UK,173817.6
1,BERGS,2,Luleå,Sweden,277760.55
1,BONAP,2,Marseille,France,38070.0
4,WARTH,2,Oulu,Finland,64512.0
7,QUICK,1,Cunewalde,Germany,133600.0
6,GREAL,2,Eugene,USA,7924.0
5,MAISD,2,Bruxelles,Belgium,41624.0
3,PICCO,2,Salzburg,Austria,564300.0
7,OCEAN,1,Buenos Aires,Argentina,220.0
7,EASTC,3,London,UK,31057.65
8,FOLKO,1,Bräcke,Sweden,224929.6
8,LEHMS,2,Frankfurt a.M.,Germany,15522.0
4,ANTON,1,México D.F.,Mexico,172520.0
3,LEHMS,2,Frankfurt a.M.,Germany,208500.0
1,RICSU,1,Genève,Switzerland,156846.8
9,BSBEV,3,London,UK,1118.4
6,BSBEV,3,London,UK,15642.0
3,QUICK,3,Cunewalde,Germany,1681630.5
2,HANAR,1,Rio de Janeiro,Brazil,181675.2
1,KOENE,3,Brandenburg,Germany,19258.2
8,LILAS,2,Barquisimeto,Venezuela,177000.0
4,LONEP,1,Portland,USA,5840.8
8,LAZYK,2,Walla Walla,USA,2100.0
1,VICTE,3,Lyon,France,224960.0
3,SEVES,2,London,UK,160272.0
3,TOMSP,2,Münster,Germany,6602.4
5,QUICK,1,Cunewalde,Germany,848844.5
7,GODOS,3,Sevilla,Spain,25466.0
4,FURIB,3,Lisboa,Portugal,183600.0
2,HILAA,1,San Cristóbal,Venezuela,42264.0
2,WARTH,2,Oulu,Finland,137620.7
4,OTTIK,3,Köln,Germany,145560.0
6,SAVEA,3,Boise,USA,526311.5
2,SIMOB,1,Kobenhavn,Denmark,20044.8
9,LEHMS,2,Frankfurt a.M.,Germany,57625.0
1,AROUT,2,Colchester,UK,205718.4
6,BLONP,1,Strasbourg,France,16434.0
8,FRANK,1,München,Germany,44005.5
2,FOLKO,2,Bräcke,Sweden,170670.0
1,REGGC,1,Reggio Emilia,Italy,16290.0
2,RICAR,2,Rio de Janeiro,Brazil,91675.0
4,RATTC,3,Albuquerque,USA,61053.0
8,MEREP,2,Montréal,Canada,30573.0
9,BLONP,1,Strasbourg,France,128520.0
1,HUNGO,1,Cork,Ireland,320227.0
3,GALED,3,Barcelona,Spain,775.0
5,RATTC,1,Albuquerque,USA,63537.5
3,MEREP,3,Montréal,Canada,194625.0
8,ERNSH,3,Graz,Austria,25262.25
3,BERGS,2,Luleå,Sweden,136211.55
7,ANTON,3,México D.F.,Mexico,172806.0
4,TRAIH,2,Kirkland,USA,24457.6
5,MORGK,1,Leipzig,Germany,124549.2
3,TORTU,3,México D.F.,Mexico,42760.95
9,TRAIH,2,Kirkland,USA,27312.0
4,BSBEV,3,London,UK,12402.0
1,LETSS,2,San Francisco,USA,9850.25
4,OTTIK,3,Köln,Germany,57623.4
3,FAMIA,1,Sao Paulo,Brazil,19375.0
3,BLAUS,2,Mannheim,Germany,5940.0
2,WARTH,2,Oulu,Finland,106211.6
4,BLONP,1,Strasbourg,France,31250.0
7,WELLI,1,Resende,Brazil,2137.5
9,REGGC,1,Reggio Emilia,Italy,112.0
1,QUEDE,1,Rio de Janeiro,Brazil,37139.48
2,QUICK,3,Cunewalde,Germany,546000.0
8,GREAL,2,Eugene,USA,288.0
4,MEREP,3,Montréal,Canada,91200.0
1,VAFFE,1,Århus,Denmark,60125.0
3,LEHMS,1,Frankfurt a.M.,Germany,16309.5
7,LEHMS,2,Frankfurt a.M.,Germany,112185.0
3,OLDWO,2,Anchorage,USA,30537.0
2,ERNSH,1,Graz,Austria,1354500.0
8,WHITC,1,Seattle,USA,87089.9
7,PICCO,3,Salzburg,Austria,53606.7
1,RATTC,3,Albuquerque,USA,140921.5
6,BSBEV,3,London,UK,4930.0
4,HUNGC,1,Elgin,USA,16313.2
7,HILAA,1,San Cristóbal,Venezuela,217075.0
8,VAFFE,2,Århus,Denmark,325.0
8,SAVEA,2,Boise,USA,110084.0
1,FURIB,1,Lisboa,Portugal,4104.0
1,MEREP,2,Montréal,Canada,584010.0
4,TRADH,3,Sao Paulo,Brazil,70650.0
5,SAVEA,1,Boise,USA,1379260.2
4,TOMSP,2,Münster,Germany,29792.0
7,DUMON,2,Nantes,France,8056.0
8,LAMAI,1,Toulouse,France,8379.0
6,WOLZA,2,Warszawa,Poland,25048.0
1,SAVEA,2,Boise,USA,1676625.0
4,HILAA,2,San Cristóbal,Venezuela,17184.0
8,BLAUS,3,Mannheim,Germany,12528.0
2,WILMK,3,Helsinki,Finland,600.0
1,GREAL,2,Eugene,USA,296888.0
4,GREAL,2,Eugene,USA,49500.0
1,MEREP,1,Montréal,Canada,283237.5
3,MEREP,3,Montréal,Canada,103320.0
2,LAUGB,3,Vancouver,Canada,575.0
4,ISLAT,2,Cowes,UK,37925.0
4,RICAR,3,Rio de Janeiro,Brazil,22990.0
8,FRANK,2,München,Germany,134396.5
4,THECR,2,Butte,USA,36224.24
3,ANATR,1,México D.F.,Mexico,8635.5
1,BERGS,2,Luleå,Sweden,78187.2
8,SAVEA,3,Boise,USA,63225.0
4,BLONP,3,Strasbourg,France,11250.0
4,GODOS,3,Sevilla,Spain,80476.45
1,KOENE,2,Brandenburg,Germany,43146.0
8,LAMAI,1,Toulouse,France,496.0
8,WANDK,1,Stuttgart,Germany,31000.0
7,ERNSH,3,Graz,Austria,1063220.2
4,FOLIG,3,Lille,France,508521.0
8,MAGAA,3,Bergamo,Italy,89716.25
4,WARTH,1,Oulu,Finland,19514.5
6,QUEEN,1,Sao Paulo,Brazil,275143.75
3,LINOD,1,I. de Margarita,Venezuela,274725.05
7,SANTG,3,Stavern,Norway,4000.0
4,WANDK,1,Stuttgart,Germany,33075.0
4,HILAA,2,San Cristóbal,Venezuela,225940.0
7,SIMOB,3,Kobenhavn,Denmark,43500.0
6,ALFKI,1,Berlin,Germany,41268.0
3,WELLI,2,Resende,Brazil,63990.0
4,HANAR,1,Rio de Janeiro,Brazil,53725.0
9,HUNGO,3,Cork,Ireland,188944.0
4,QUEDE,2,Rio de Janeiro,Brazil,31800.0
5,RICAR,2,Rio de Janeiro,Brazil,11475.0
5,MAISD,3,Bruxelles,Belgium,50190.0
5,FAMIA,3,Sao Paulo,Brazil,154717.0
8,WANDK,2,Stuttgart,Germany,16972.8
4,GOURL,2,Campinas,Brazil,7299.16
1,FRANK,1,München,Germany,60175.0
5,BERGS,1,Luleå,Sweden,25410.6
1,REGGC,2,Reggio Emilia,Italy,3860.0
6,GREAL,1,Eugene,USA,24839.95
2,SAVEA,2,Boise,USA,891806.4
4,QUICK,1,Cunewalde,Germany,1190340.0
7,QUEEN,2,Sao Paulo,Brazil,108494.4
8,HUNGC,1,Elgin,USA,35721.0
7,HUNGO,3,Cork,Ireland,36569.0
3,LONEP,2,Portland,USA,1250.0
2,BONAP,2,Marseille,France,162560.0
1,FURIB,3,Lisboa,Portugal,77303.25
1,LONEP,2,Portland,USA,40145.0
7,RICSU,2,Genève,Switzerland,214679.24
7,ERNSH,1,Graz,Austria,113339.0
1,WANDK,2,Stuttgart,Germany,18758.25
2,SIMOB,1,Kobenhavn,Denmark,17100.0
4,FRANK,1,München,Germany,441936.0
1,FRANR,1,Nantes,France,29443.2
9,BERGS,2,Luleå,Sweden,113683.5
2,WILMK,1,Helsinki,Finland,6185.25
4,ISLAT,2,Cowes,UK,225.0
5,FRANK,2,München,Germany,99610.0
2,TORTU,2,México D.F.,Mexico,16045.5
1,ANTON,3,México D.F.,Mexico,36362.2
7,SAVEA,3,Boise,USA,1471820.0
8,BLONP,3,Strasbourg,France,7920.0
1,OLDWO,1,Anchorage,USA,185075.0
3,GREAL,3,Eugene,USA,92890.0
3,ANTON,2,México D.F.,Mexico,24032.0
2,DUMON,1,Nantes,France,567.0
3,OTTIK,1,Köln,Germany,159120.0
4,GOURL,2,Campinas,Brazil,31242.9
2,PICCO,1,Salzburg,Austria,73730.25
9,HUNGO,2,Cork,Ireland,409325.4
4,VAFFE,2,Århus,Denmark,321080.0
1,BERGS,2,Luleå,Sweden,22050.0
1,HANAR,1,Rio de Janeiro,Brazil,57500.0
2,QUICK,2,Cunewalde,Germany,1849993.6
4,ALFKI,2,Berlin,Germany,17560.0
3,WHITC,3,Seattle,USA,259074.0
8,QUICK,3,Cunewalde,Germany,796125.0
7,WILMK,1,Helsinki,Finland,21828.0
8,WHITC,3,Seattle,USA,37848.0
3,LINOD,1,I. de Margarita,Venezuela,81616.4
4,ERNSH,1,Graz,Austria,388878.84
3,MORGK,3,Leipzig,Germany,1368.0
3,SAVEA,1,Boise,USA,239616.0
6,HUNGO,3,Cork,Ireland,326890.0
4,ALFKI,1,Berlin,Germany,6930.0
6,FOLKO,2,Bräcke,Sweden,190875.0
6,QUEEN,1,Sao Paulo,Brazil,38707.5
9,HILAA,2,San Cristóbal,Venezuela,9072.0
8,OLDWO,3,Anchorage,USA,98436.0
4,AROUT,3,Colchester,UK,151656.0
6,THEBI,2,Portland,USA,1623.6
1,GOURL,3,Campinas,Brazil,267072.0
1,FRANS,1,Torino,Italy,935.0
5,SAVEA,2,Boise,USA,774595.8
3,HUNGO,1,Cork,Ireland,40867.2
1,SAVEA,1,Boise,USA,514677.8
5,SAVEA,3,Boise,USA,402917.0
3,BONAP,1,Marseille,France,66096.0
4,RANCH,2,Buenos Aires,Argentina,15532.0
1,FRANK,2,München,Germany,95886.0
1,KOENE,3,Brandenburg,Germany,401708.0
8,LETSS,2,San Francisco,USA,61911.85
8,QUEDE,2,Rio de Janeiro,Brazil,15950.0
5,QUICK,3,Cunewalde,Germany,48625.0
8,SAVEA,1,Boise,USA,219800.0
3,WHITC,1,Seattle,USA,7026.75
8,MEREP,2,Montréal,Canada,13408.5
4,FAMIA,3,Sao Paulo,Brazil,6331.6
4,EASTC,1,London,UK,19650.0
2,REGGC,1,Reggio Emilia,Italy,68400.0
4,QUEEN,2,Sao Paulo,Brazil,62244.0
8,LINOD,3,I. de Margarita,Venezuela,222000.0
5,BONAP,1,Marseille,France,14273.0
7,CHOPS,1,Bern,Switzerland,139300.0
3,BONAP,1,Marseille,France,7200.0
1,BERGS,3,Luleå,Sweden,88999.0
2,GOURL,3,Campinas,Brazil,97392.75
6,LETSS,2,San Francisco,USA,13112.0
9,HUNGO,2,Cork,Ireland,59820.0
2,VINET,2,Reims,France,2236.8
2,SPECD,1,Paris,France,157.05
3,VINET,3,Reims,France,5760.0
4,WHITC,2,Seattle,USA,166380.0
4,AROUT,3,Colchester,UK,4275.0
3,BOTTM,3,Tsawassen,Canada,327390.0
1,AROUT,2,Colchester,UK,9408.0
6,VAFFE,1,Århus,Denmark,46000.0
9,QUICK,1,Cunewalde,Germany,416741.6
1,CHOPS,3,Bern,Switzerland,191871.1
6,PICCO,1,Salzburg,Austria,156853.7
3,SAVEA,1,Boise,USA,245952.0
4,ISLAT,2,Cowes,UK,33480.0
9,WARTH,1,Oulu,Finland,130987.5
3,RICSU,3,Genève,Switzerland,131012.42
2,NORTS,3,London,UK,2772.0
3,FRANS,1,Torino,Italy,792.0
6,MAGAA,3,Bergamo,Italy,165.6
4,BONAP,2,Marseille,France,257202.0
8,SPLIR,2,Lander,USA,166662.5
6,SAVEA,1,Boise,USA,280462.0
3,RICSU,3,Genève,Switzerland,197352.0
3,ANATR,3,México D.F.,Mexico,3200.0
4,MAISD,1,Bruxelles,Belgium,270928.0
5,RATTC,2,Albuquerque,USA,33363.5
3,FOLKO,1,Bräcke,Sweden,581158.0
3,FOLIG,3,Lille,France,40656.0
6,ERNSH,3,Graz,Austria,381000.0
3,QUICK,3,Cunewalde,Germany,134720.0
4,OTTIK,1,Köln,Germany,265650.0
4,SUPRD,3,Charleroi,Belgium,56.0
3,AROUT,2,Colchester,UK,119637.0
3,VAFFE,1,Århus,Denmark,136320.0
8,HANAR,3,Rio de Janeiro,Brazil,4725.0
9,ERNSH,2,Graz,Austria,5504.0
3,LEHMS,2,Frankfurt a.M.,Germany,154938.46
1,ERNSH,3,Graz,Austria,243787.5
4,FOLKO,1,Bräcke,Sweden,45500.0
7,THECR,1,Butte,USA,2052.0
1,ERNSH,3,Graz,Austria,1222287.5
7,GOURL,2,Campinas,Brazil,5600.0
3,BERGS,1,Luleå,Sweden,965.0
3,MORGK,2,Leipzig,Germany,53400.0
2,LILAS,1,Barquisimeto,Venezuela,36000.0
2,WARTH,3,Oulu,Finland,65676.3
9,CACTU,3,Buenos Aires,Argentina,12.5
4,HANAR,2,Rio de Janeiro,Brazil,21637.5
4,MAGAA,3,Bergamo,Italy,102300.0
1,GROSR,3,Caracas,Venezuela,7750.0
8,QUEEN,1,Sao Paulo,Brazil,166504.95
2,LAMAI,1,Toulouse,France,96628.0
1,QUICK,2,Cunewalde,Germany,69300.0
1,FOLIG,2,Lille,France,342891.0
6,GOURL,1,Campinas,Brazil,19550.0
6,FRANK,2,München,Germany,65486.04
1,WOLZA,3,Warszawa,Poland,11195.8
3,AROUT,3,Colchester,UK,4204.2
6,QUEDE,1,Rio de Janeiro,Brazil,8262.45
8,ERNSH,2,Graz,Austria,249925.0
3,HILAA,1,San Cristóbal,Venezuela,259027.2
7,DRACD,2,Aachen,Germany,8400.0
2,ISLAT,1,Cowes,UK,5359.2
9,KOENE,3,Brandenburg,Germany,103025.0
1,SEVES,3,London,UK,109354.05
4,BOLID,2,Madrid,Spain,242148.0
4,SIMOB,2,Kobenhavn,Denmark,470850.0
4,WELLI,1,Resende,Brazil,67813.2
6,SEVES,2,London,UK,146585.6
2,THEBI,3,Portland,USA,55500.0
3,VICTE,2,Lyon,France,21167.7
4,FRANS,1,Torino,Italy,18.4
2,OLDWO,3,Anchorage,USA,116200.0
7,WELLI,1,Resende,Brazil,2800.0
2,LAUGB,3,Vancouver,Canada,3179.0
8,LINOD,1,I. de Margarita,Venezuela,53676.0
5,REGGC,1,Reggio Emilia,Italy,140752.0
1,RICAR,1,Rio de Janeiro,Brazil,30456.0
3,VICTE,3,Lyon,France,161460.0
2,SAVEA,3,Boise,USA,640.0
4,GREAL,2,Eugene,USA,444550.0
3,KOENE,2,Brandenburg,Germany,1781058.5
7,MAGAA,3,Bergamo,Italy,33320.0
2,CACTU,3,Buenos Aires,Argentina,12879.0
3,RATTC,2,Albuquerque,USA,34200.0
1,SPLIR,1,Lander,USA,17628.0
6,TRAIH,3,Kirkland,USA,2141.1
5,LILAS,2,Barquisimeto,Venezuela,279675.0
8,FOLKO,1,Bräcke,Sweden,5266.8
1,DRACD,1,Aachen,Germany,32984.32
